"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Female"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          1414 Receptionists",175140,162540,20947,22415,160155,21056,22483 
"          1415 Personnel clerks",12655,12095,40373,40035,11980,40674,40157 
"          1416 Court clerks",2445,2380,43242,40674,2380,43060,40669 
"        142 Office equipment operators",42380,39675,28077,28178,38720,28476,28300 
"          1422 Data entry clerks",41100,38440,27977,28005,37625,28322,28172 
"          1423 Desktop publishing operators and related occupations",1285,1230,35883,33564,1090,36446,32715 
"        143 Financial, insurance and related administrative support workers",207510,196925,36047,36619,192725,36329,36876 
"          1431 Accounting and related clerks",136655,129115,34458,34766,125625,34844,35066 
"          1432 Payroll clerks",33130,31905,43268,43478,31615,43400,43721 
"          1434 Banking, insurance and other financial clerks",26120,25005,36828,38553,24650,36885,38563 
"          1435 Collectors",11605,10900,34402,34061,10835,34494,34057 
"        145 Library, correspondence and other clerks",69255,57150,20435,25144,55245,21032,25499 
"          1451 Library assistants and clerks",17270,16465,19045,22080,16380,19068,22014 
"          1452 Correspondence, publication and regulatory clerks",22630,21240,37723,37498,20590,38132,37831 
"          1454 Survey interviewers and statistical clerks",29355,19450,8858,14251,18275,9088,14727 
"      15 Distribution, tracking and scheduling co-ordination occupations",136985,128125,31160,32431,124795,31664,32846 
"        151 Mail and message distribution occupations",46620,42880,27850,29570,40580,29389,30285 
"          1511 Mail, postal and related workers",22170,20770,30094,30835,20350,30340,31032 
"          1512 Letter carriers",14015,13285,39074,37916,12765,40110,38792 
"          1513 Couriers, messengers and door-to-door distributors",10435,8825,8403,14028,7460,8008,13687 
"        152 Supply chain logistics, tracking and scheduling co-ordination occupations",90360,85250,32341,33869,84215,32460,34080 
"          1521 Shippers and receivers",29755,27900,26965,27820,27560,27154,28030 
"          1522 Storekeepers and partspersons",11145,10465,29490,30327,10320,29923,30598 
"          1523 Production logistics co-ordinators",9825,9495,41212,42634,9395,41365,42759 
"          1524 Purchasing and inventory control workers",18320,17220,31690,32158,17025,32012,32320 
"          1525 Dispatchers",18385,17350,39439,41226,17150,39731,41472 
