"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Male"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          1211 Supervisors, general office and administrative support workers",3740,3530,59444,65346,3505,59498,64996 
"          1212 Supervisors, finance and insurance office workers",4095,3935,59800,69356,3880,59862,69320 
"          1213 Supervisors, library, correspondence and related information workers",2760,2090,14933,30987,1890,17370,33392 
"          1214 Supervisors, mail and message distribution occupations",3465,3340,59697,53876,3285,60003,54295 
"          1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",26390,25465,50033,54037,25185,50120,54280 
"        122 Administrative and regulatory occupations",140090,129830,51235,59195,122160,52605,60654 
"          1221 Administrative officers",50685,47290,52075,61758,45305,52938,62573 
"          1222 Executive assistants",4630,4495,54919,88026,4320,56193,90234 
"          1223 Human resources and recruitment officers",8190,7715,49661,58057,7230,50010,58850 
"          1224 Property administrators",29075,25015,41741,51112,21190,45867,54850 
"          1225 Purchasing agents and officers",24865,23680,55787,63539,23080,56279,63963 
"          1226 Conference and event planners",6980,6490,29489,37154,6015,31180,37895 
"          1227 Court officers and justices of the peace",1570,1525,51770,58127,1445,53069,59697 
"          1228 Employment insurance, immigration, border services and revenue officers",14095,13625,59390,59335,13580,59413,59417 
"        124 Office administrative assistants - general, legal and medical",17060,15875,30377,35395,15075,31274,36407 
"          1241 Administrative assistants",15040,14010,30430,35651,13360,31266,36651 
"          1242 Legal administrative assistants",1725,1585,30207,33541,1450,32443,34694 
"          1243 Medical administrative assistants",300,285,26449,33045,265,29153,33467 
"        125 Court reporters, transcriptionists, records management technicians and statistical officers",5385,5110,44631,49112,4865,44991,49570 
"          1251 Court reporters, medical transcriptionists and related occupations",635,575,26777,29909,440,24107,27261 
"          1252 Health information management occupations",385,375,44357,48816,365,43988,48754 
"          1253 Records management technicians",2490,2370,46641,54429,2290,46708,54776 
"          1254 Statistical officers and related research support occupations",1875,1795,47664,48293,1775,47741,48518 
"      13 Finance, insurance and related business administrative occupations",46020,43260,46097,53065,39075,48248,55177 
"        131 Finance, insurance and related business administrative occupations",46020,43260,46097,53065,39075,48248,55177 
"          1311 Accounting technicians and bookkeepers",20155,18465,30070,41726,16235,33711,44146 
"          1312 Insurance adjusters and claims examiners",10775,10435,58449,61317,10055,59080,61991 
"          1313 Insurance underwriters",4430,4285,57171,66693,4045,58291,68447 
"          1314 Assessors, valuators and appraisers",8655,8170,53984,59626,6925,56995,61902 
"          1315 Customs, ship and other brokers",2000,1910,47175,59019,1810,49025,60890 
"      14 Office support occupations",142275,129155,28691,34112,124340,29542,34526 
"        141 General office workers",58855,53905,25366,31027,52130,25989,31384 
"          1411 General office support workers",44125,40645,27927,32382,39200,28859,32860 
"          1414 Receptionists",11815,10495,18056,22004,10260,18108,22142 
"          1415 Personnel clerks",2575,2435,41565,45632,2350,41356,45448 
"          1416 Court clerks",335,325,43925,43327,325,43954,43624 
"        142 Office equipment operators",13160,12215,23965,28400,11835,24319,28714 
"          1422 Data entry clerks",12115,11275,23155,27302,10975,23528,27602 
"          1423 Desktop publishing operators and related occupations",1045,940,39553,41591,865,40080,42822 
"        143 Financial, insurance and related administrative support workers",43030,40570,37280,43144,38755,37970,43787 
"          1431 Accounting and related clerks",25145,23675,34971,38920,22225,36220,39688 
"          1432 Payroll clerks",4200,4000,45045,44238,3940,45291,44574 
"          1434 Banking, insurance and other financial clerks",8345,7810,41663,60326,7580,41869,60613 
