"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) = Total - Sex"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          2231 Civil engineering technologists and technicians",23320,22255,50701,52920,21725,50905,53240 
"          2232 Mechanical engineering technologists and technicians",22755,21665,55488,57985,21110,55862,58255 
"          2233 Industrial engineering and manufacturing technologists and technicians",21575,20575,50026,52213,20230,50142,52478 
"          2234 Construction estimators",17675,16815,57387,62844,16055,58278,63511 
"        224 Technical occupations in electronics and electrical engineering",116485,110385,47934,51391,103970,49703,53066 
"          2241 Electrical and electronics engineering technologists and technicians",49895,47650,52960,55600,46055,54195,56404 
"          2242 Electronic service technicians (household and business equipment)",49880,46595,37548,39423,42055,40005,41493 
"          2243 Industrial instrument technicians and mechanics",8910,8615,74683,81699,8435,75748,82464 
"          2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",7805,7520,66587,64161,7425,66760,64513 
"        225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",68095,64585,43622,45622,60975,44434,46402 
"          2251 Architectural technologists and technicians",10150,9670,42601,45711,8870,43670,46663 
"          2252 Industrial designers",8190,7645,43853,47468,6865,44883,49186 
"          2253 Drafting technologists and technicians",35015,33035,42800,44650,31305,43439,45387 
"          2254 Land survey technologists and technicians",5435,5255,38164,39382,5170,38181,39595 
"          2255 Technical occupations in geomatics and meteorology",9300,8975,51044,51180,8765,51343,51597 
"        226 Other technical inspectors and regulatory officers",59895,57220,59994,62047,55035,60939,63336 
"          2261 Non-destructive testers and inspection technicians",7295,6925,60940,67304,6735,61126,67682 
"          2262 Engineering inspectors and regulatory officers",5790,5465,63198,66694,5270,64434,68028 
"          2263 Inspectors in public and environmental health and occupational health and safety",31395,30225,62531,63815,29565,63411,64558 
"          2264 Construction inspectors",15425,14600,52482,54152,13455,54511,56640 
"        227 Transportation officers and controllers",33760,32395,77399,84706,31695,78510,85655 
"          2271 Air pilots, flight engineers and flying instructors",17480,16810,80112,89101,16325,81510,90506 
"          2272 Air traffic controllers and related occupations",5475,5290,85019,95792,5265,85475,96301 
"          2273 Deck officers, water transport",6135,5845,69253,71510,5740,69595,71900 
"          2274 Engineer officers, water transport",3265,3070,70235,72374,3000,70940,73071 
"          2275 Railway traffic controllers and marine traffic regulators",1405,1365,79500,71894,1365,79584,72067 
"        228 Technical occupations in computer and information systems",135020,128230,49743,50895,125075,50057,51387 
"          2281 Computer network technicians",67745,64510,54308,55047,62525,54955,55835 
"          2282 User support technicians",58840,55785,45249,46633,54755,45512,46902 
"          2283 Information systems testing technicians",8435,7935,47258,47095,7790,47356,47204 
"    3 Health occupations",1175800,1118175,42970,54904,1041795,42108,49676 
"      30 Professional occupations in nursing",328545,315485,59848,57560,312285,60010,57791 
"        301 Professional occupations in nursing",328550,315485,59848,57560,312285,60010,57791 
"          3011 Nursing co-ordinators and supervisors",11305,10985,62599,60604,10900,62920,60840 
"          3012 Registered nurses and registered psychiatric nurses",317240,304505,59728,57451,301385,59958,57681 
"      31 Professional occupations in health (except nursing)",238435,226815,72155,101645,179650,63435,79539 
"        311 Physicians, dentists and veterinarians",115485,108535,112042,142166,77980,73966,103428 
"          3111 Specialist physicians",38370,36355,126119,175088,27900,74921,120690 
"          3112 General practitioners and family physicians",47630,44615,118994,136456,31150,71740,94896 
"          3113 Dentists",19630,18120,105104,124790,10970,90441,108924 
"          3114 Veterinarians",9855,9450,69679,75811,7960,66921,68750 
"        312 Optometrists, chiropractors and other health diagnosing and treating professionals",21235,20135,58186,67511,10805,52200,61975 
"          3121 Optometrists",5000,4795,81978,93262,2200,74101,83936 
"          3122 Chiropractors",7135,6625,47961,61186,2525,39956,48019 
